SKU,Name,Price,category,brand,StockQuantity,InStock,IsFeatured,IsActive,Rating,ReviewCount,CreatedAt
WS24ES07C-SDBB,Áo Sơ Mi Form Vừa WS24ES07C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.122699+07
WS24ES04C-LDBB,Áo Sơ Mi Form Vừa Tay Dài WS24ES04C-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.122012+07
WS23SS07P-LC,Áo sơ mi nam tay dài WS23SS07P-LC,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.121391+07
WS23SS03P-LC,Áo Sơ Mi Nam Tay Dài WS23SS03P-LC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.120754+07
WS23SS01C-SC,Áo Sơ Mi Nam Tay Ngắn Năng Động WS23SS01C-SC,600000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.120172+07
WS23FH50P-LD,Áo Sơ Mi Tay Dài Lịch Lãm WS23FH50P-LD,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.119566+07
WS23FH32C-LCBB,Áo Sơ Mi Nam Form Vừa Caro WS23FH32C-LCBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.11891+07
WS23ES41T-LDBB,Áo Sơ Mi Form Vừa Tay Dài WS23ES41T-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.117741+07
WS23ES36T-LDBB,Áo Sơ Mi Tay Dài Lịch Lãm WS23ES36T-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.117131+07
WS23ES35C-SDBB,Áo Sơ Mi Nam Tay Ngắn WS23ES35C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.116437+07
TS25SS25P-RGUS,Áo Thun Tay Ngắn Form Vừa TS25SS25P-RGUS,390000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.115816+07
TS25SS18P-RGUS,Áo Thun Nam Form Vừa Tay Ngắn TS25SS18P-RGUS,390000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.115212+07
TS25SS17P-RX,Áo Thun Tay Ngắn Form Rộng TS25SS17P-RX,450000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.114541+07
TS25SS16C-RGUS,Áo Thun Form Vừa Tay Ngắn TS25SS16C-RGUS,390000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.113738+07
TS25SS15P-RG,Áo Thun Nam Tay Ngắn Form Vừa TS25SS15P-RG,450000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.11261+07
TS25EC11C-RGUS,Áo Thun Nam Form Vừa TS25EC11C-RGUS,299000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.110276+07
TS25EC10C-RGUS,Áo Thun Nam Tay Ngắn Form Vừa TS25EC10C-RGUS,299000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.109685+07
TS25EC08P-RGUS,Áo Thun Nam Tay Ngắn Form Vừa TS25EC08P-RGUS,299000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.109024+07
TS25EC07P-RGUS,Áo Thun Tay Ngắn Form Vừa TS25EC07P-RGUS,299000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.108344+07
TS25EC06P-RGUS,Áo Thun Nam Form Vừa Tay Ngắn TS25EC06P-RGUS,299000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.107738+07
TS25EC02T-RGUS,Áo Thun Nam Tay Ngắn Form Vừa TS25EC02T-RGUS,299000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.107117+07
TS24SS15C-RGUS,Áo Thun Tay Ngắn Form Vừa TS24SS15C-RGUS,500000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.106483+07
TS24SS14C-RGUS,Áo Thun Tay Ngắn Form Vừa TS24SS14C-RGUS,500000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.105864+07
TS24SS11T-RX,Áo Thun Nam Form Vừa Tay Ngắn TS24SS11T-RX,450000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.105257+07
